pruid,prname
12,Nova Scotia
47,Saskatchewan
1,Canada
13,New Brunswick
48,Alberta
61,Northwest Territories
35,Ontario
59,British Columbia
10,Newfoundland and Labrador
24,Quebec
62,Nunavut
60,Yukon
11,Prince Edward Island
99,Repatriated travellers
46,Manitoba
